word,rarity,reason
Rho,4,duplicate-after-lowercasing
rie,4,obsolete-or-invalid-form
Rom,4,capitalized-only-without-lowercase-source
Sal,4,duplicate-after-lowercasing
Sam,4,duplicate-after-lowercasing
San,4,duplicate-after-lowercasing
sci,4,excluded-usage:abbreviation
sem,4,excluded-usage:abbreviation
Sem,4,excluded-usage:abbreviation
Sir,4,duplicate-after-lowercasing
Soc,4,duplicate-after-lowercasing
Sol,4,duplicate-after-lowercasing
sta,4,excluded-usage:abbreviation
sth,4,excluded-usage:abbreviation
Sue,4,duplicate-after-lowercasing
sui,3,excluded-usage:abbreviation
Sun,4,duplicate-after-lowercasing
Tai,4,duplicate-after-lowercasing
Tat,4,duplicate-after-lowercasing
Ted,4,capitalized-only-without-lowercase-source
Tee,4,duplicate-after-lowercasing
Thu,4,capitalized-only-without-lowercase-source
tia,4,"excluded-usage:abbreviation,initialism;proper-name-or-nonword-sense"
Tim,4,capitalized-only-without-lowercase-source
Tom,4,duplicate-after-lowercasing
tre,4,obsolete-or-invalid-form
tsp,4,excluded-usage:abbreviation
Urd,4,capitalized-only-without-lowercase-source
ven,4,excluded-usage:abbreviation
ver,4,excluded-usage:abbreviation
vii,4,"excluded-usage:abbreviation,initialism"
viz,4,cyclic-reference:viz
Wed,4,duplicate-after-lowercasing
wif,4,excluded-usage:nonstandard
wpm,4,"excluded-usage:abbreviation,initialism"
Zen,4,capitalized-only-without-lowercase-source
Zia,4,capitalized-only-without-lowercase-source
pre,4,invalid-generated-plural-of-pres
jews,4,capitalized-root:Jew
Abby,4,capitalized-only-without-lowercase-source
abit,4,excluded-usage:nonstandard
abos,4,excluded-root:abo
acad,4,excluded-usage:abbreviation
acct,4,excluded-usage:abbreviation
Acts,4,capitalized-only-without-lowercase-source
Afar,4,duplicate-after-lowercasing
aime,4,obsolete-or-invalid-form
aire,4,obsolete-or-invalid-form
Akan,4,capitalized-only-without-lowercase-source
Alan,4,duplicate-after-lowercasing
albo,4,"excluded-usage:offensive,slur"
alot,4,excluded-usage:misspelling;excluded-usage:nonstandard
Amor,4,capitalized-only-without-lowercase-source
Anal,4,duplicate-after-lowercasing
Andy,4,capitalized-only-without-lowercase-source
Arab,4,capitalized-only-without-lowercase-source
Aran,4,capitalized-only-without-lowercase-source
arme,4,obsolete-or-invalid-form
Asia,4,capitalized-only-without-lowercase-source
Asti,4,capitalized-only-without-lowercase-source
attn,4,excluded-usage:abbreviation
Atty,4,capitalized-only-without-lowercase-source
aube,4,obsolete-or-invalid-form
Aves,4,duplicate-after-lowercasing
Barb,4,duplicate-after-lowercasing
Bari,4,duplicate-after-lowercasing
Bart,4,capitalized-only-without-lowercase-source
Beda,4,capitalized-only-without-lowercase-source
Beeb,4,capitalized-only-without-lowercase-source
Bell,4,duplicate-after-lowercasing
Beta,4,duplicate-after-lowercasing
biol,4,excluded-usage:abbreviation
Blue,4,duplicate-after-lowercasing
Bobo,4,duplicate-after-lowercasing
Boer,4,capitalized-only-without-lowercase-source
boli,4,excluded-usage:abbreviation;excluded-usage:nonstandard
Bomb,4,duplicate-after-lowercasing
Bora,4,duplicate-after-lowercasing
Borg,4,duplicate-after-lowercasing
Bork,4,duplicate-after-lowercasing
Brit,4,duplicate-after-lowercasing
Burg,4,duplicate-after-lowercasing
Carl,4,duplicate-after-lowercasing
Celt,4,duplicate-after-lowercasing
cert,4,cyclic-reference:cert
Chad,4,duplicate-after-lowercasing
Chan,4,duplicate-after-lowercasing
chav,4,excluded-usage:offensive
chem,4,abbreviation-only-sense;excluded-usage:abbreviation
Chin,4,duplicate-after-lowercasing
Chow,4,duplicate-after-lowercasing
cinq,4,obsolete-or-invalid-form
Clio,4,capitalized-only-without-lowercase-source
Coke,4,duplicate-after-lowercasing
